ID,Title,Created Date,Updated Date,Author,Commits,Changed Files,Additions,Deletions,Status
26,Add .circleci/config.yml,2023-12-29 23:56:30+00:00,2023-12-30 00:14:23+00:00,joaomdmoura,9,1,27,0,Close
25,Adding tool caching a loop execution prevention.,2023-12-29 23:54:01+00:00,2023-12-30 01:35:52+00:00,joaomdmoura,2,14,3046,54,Close
24,Refactor Codebase to Use Pydantic v2 and Enhance Type Hints-Documentation,2023-12-29 06:14:10+00:00,2023-12-30 00:44:31+00:00,greysonlalonde,8,11,157,112,Close
17,Update to use absolute imports,2023-12-27 21:34:31+00:00,2023-12-30 01:40:00+00:00,greysonlalonde,2,6,14,13,Close
15,Update Python to 3.9-Add Code Quality Tools-& Update Lockfile,2023-12-27 19:02:37+00:00,2023-12-27 20:34:57+00:00,greysonlalonde,6,16,947,640,Close
14,fix prompt typo,2023-12-27 17:28:01+00:00,2023-12-27 18:05:51+00:00,jerryjliu,1,1,3,3,Close
12,Update agent.py,2023-12-25 00:45:11+00:00,2023-12-25 12:25:01+00:00,JamesChannel1,1,1,17,2,Close
9,Update README.md,2023-12-22 03:35:45+00:00,2023-12-22 13:24:36+00:00,llxxxll,2,1,5,2,Close
7,Fix typo in readme for valid syntax in example code.,2023-12-09 22:47:27+00:00,2023-12-18 04:10:49+00:00,shreyaskarnik,1,1,1,1,Close
3,fix typo in quickstart snippet,2023-11-17 18:12:33+00:00,2023-11-17 18:56:14+00:00,manuel-soria,2,1,2,2,Close
2,Adding crew specific verbose logs,2023-11-16 21:50:08+00:00,2023-11-16 22:17:18+00:00,joaomdmoura,6,5,61,8,Close
1,Fix tiny typo,2023-11-16 11:17:38+00:00,2023-11-16 21:49:11+00:00,franzejr,1,1,1,1,Close
