ID,Title,Created Date,Updated Date,Author,Commits,Changed Files,Additions,Deletions,Status
634,Add Langtrace to the 'How to' docs for CrewAI Agent Observability,2024-05-17 17:59:05+00:00,2024-05-29 05:14:29+00:00,karthikscale3,4,3,44,0,Close
631,Test/GitHub action pipeline,2024-05-17 00:15:32+00:00,2024-05-17 01:32:44+00:00,pythonbyte,1,2,6,7,Close
624,feat: Add crew train cli,2024-05-15 22:54:58+00:00,2024-05-23 21:47:01+00:00,pythonbyte,7,16,278,45,Close
608,Small RC Fixes,2024-05-13 05:11:49+00:00,2024-05-13 05:29:08+00:00,joaomdmoura,7,21,203703,3188,Close
607,fix typo exectue -> execute,2024-05-13 04:47:53+00:00,2024-05-13 05:19:07+00:00,italovieira,1,8,23,23,Close
604,Fixes #603,2024-05-12 21:05:59+00:00,2024-05-13 05:34:52+00:00,vmsaif,1,1,1,1,Close
596,feat: adds support to automatically fallback to the default encoding,2024-05-10 14:01:37+00:00,2024-05-10 14:54:46+00:00,thehapyone,2,1,2,2,Close
591,feat: add mypy as type checker-update code and add comment to reference,2024-05-10 01:47:03+00:00,2024-05-10 19:37:58+00:00,pythonbyte,25,23,1060,306,Close
590,Fix/yaml formatting,2024-05-09 23:29:55+00:00,2024-05-10 00:35:21+00:00,GabeKoga,2,3,21,1,Close
588,Feat: Add Ruff to improve linting/formatting,2024-05-09 22:09:12+00:00,2024-05-10 14:53:58+00:00,pythonbyte,11,13,30,53,Close
587,fix: fix test actually running,2024-05-09 19:10:13+00:00,2024-05-10 00:33:56+00:00,pythonbyte,4,4,422,5,Close
585,fix: Add validation fix output_file issue when have '/',2024-05-09 10:55:09+00:00,2024-05-09 11:11:09+00:00,pythonbyte,3,4,31,19,Close
568,Task needs an expected_output field in docs.,2024-05-05 14:33:05+00:00,2024-05-10 14:55:10+00:00,stephenwithav,2,1,2,1,Close
567,Revert 'Fix .md doc file 404 error on github',2024-05-05 13:35:33+00:00,2024-05-05 13:35:47+00:00,joaomdmoura,1,1,15,15,Close
564,Fix .md doc file 404 error on github,2024-05-04 17:55:22+00:00,2024-05-05 05:53:20+00:00,JackieQi,2,1,15,15,Close
557,changes static example topic to dynamic example topic,2024-05-03 20:35:26+00:00,2024-05-03 21:34:46+00:00,tarekadam,2,1,2,2,Close
556,changes static hard coded subject/topic to dynamic {topic},2024-05-03 20:23:20+00:00,2024-05-03 20:24:36+00:00,tarekadam,1,1,2,2,Close
555,docs: corrected imprecision in the instantiation,2024-05-03 10:11:01+00:00,2024-05-05 06:55:14+00:00,alexfazio,1,1,1,1,Close
553,Update LLM-Connections.md terminal command in docs,2024-05-03 03:13:03+00:00,2024-05-03 03:25:03+00:00,tarekadam,1,1,1,1,Close
552,fixes documentation of terminal command,2024-05-03 03:10:40+00:00,2024-05-03 03:11:27+00:00,tarekadam,2,1,1,1,Close
551,Update docstring in crew.py,2024-05-02 19:20:31+00:00,2024-05-02 22:21:23+00:00,dsolito,1,1,1,0,Close
550,Allow to use async tools within the task pipeline,2024-05-02 06:08:02+00:00,2024-06-05 05:07:00+00:00,tg1482,3,8,540,10,Close
548,fix to import statement PGSearchTool.md,2024-05-01 18:58:30+00:00,2024-05-02 06:10:43+00:00,alexfazio,1,1,2,2,Close
546,docs fix to xml tool import statement,2024-05-01 15:40:00+00:00,2024-05-01 15:53:49+00:00,alexfazio,2,1,1,1,Close
525,Update README.md,2024-04-28 01:24:28+00:00,2024-05-02 06:12:03+00:00,JimCollinsDC,1,1,1,1,Close
523,Add conditional check for output file directory creation,2024-04-26 22:50:14+00:00,2024-05-02 06:13:51+00:00,Tavernari,1,1,6,0,Close
521,Tool name recognition based on string distance,2024-04-26 10:13:26+00:00,2024-05-02 06:15:35+00:00,deadlious,5,1,6,2,Close
508,Added Browserbase loader to the docs,2024-04-24 13:11:02+00:00,2024-05-02 06:15:59+00:00,mishushakov,2,2,30,0,Close
507,fix [Errno 30] Read-only file system error when using AWS Lambda,2024-04-24 11:32:39+00:00,2024-05-02 06:16:54+00:00,SamuelKocur,1,1,9,3,Close
492,fix typo: PGSearchTool.md,2024-04-23 00:07:36+00:00,2024-05-02 06:22:19+00:00,cmosta0,1,1,2,2,Close
491,Update task.py: try to find json in task output using regex,2024-04-22 21:19:05+00:00,2024-05-02 06:26:35+00:00,ftoppi,2,1,11,1,Close
490,Changed 'Inert' to 'Innate' #470,2024-04-22 17:59:56+00:00,2024-05-02 06:27:09+00:00,Chillthrower,1,1,3,3,Close
489,fix typo,2024-04-22 15:59:33+00:00,2024-05-02 06:27:41+00:00,eltociear,2,2,5,5,Close
488,fix: TypeError: LongTermMemory.search() missing 1 required positional argument: 'latest_n',2024-04-21 19:01:11+00:00,2024-05-02 06:28:50+00:00,dkhokhlov,1,1,1,1,Close
